    time      Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s    c/s      porosity    pH       tot._Na_aq tot._K_aq    Ca_total   vx         tx       dtb_Ca++   dtb_CO3--  dtb_Mg++   dtb_Cl-    dtb_OH-    dtb_H2O    dtb_zzz    dtc_H+     dtc_CaCO3a dtc_MgCO3a dtc_HCO3-  dtc_H2CO3a dtc_CH4_aq dtc_H2_aq  dtc_O2_aq  stb_Ca++   stb_CO3--  stb_Mg++   stb_Cl-    stb_OH-    stb_H2O    stb_zzz     sumqwater  delta-t    delta-q   dtb_Ca++   dtb_CO3--  dtb_Mg++   dtb_Cl-    dtb_OH-    dtb_H2O    dtb_zzz   
  0.100E+01  0.123E-03  0.368E-04  0.302E-04  0.603E-04  0.858E-04  0.553E+02  0.100E-14  0.111E-08  0.640E-05  0.284E-08  0.858E-04  0.222E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.123E-03  0.937E-05  0.128E-09  0.364E-06  0.109E-06  0.151E-06  0.302E-06  0.255E-06  0.166E+00  0.300E-17  0.534E-11  0.190E-07  0.844E-11  0.255E-06  0.664E-10  0.000E+00  0.000E+00  0.300E-07  0.364E-06  0.109E-06  0.151E-06  0.302E-06  0.255E-06  0.166E+00  0.300E-17  0.300E-03  0.100E+01  0.300E-03  0.383E-06  0.383E-06  0.151E-06  0.302E-06 -0.251E-11  0.166E+00  0.300E-17
  0.100E+03  0.131E-03  0.365E-04  0.436E-03  0.893E-03  0.839E-04  0.553E+02  0.100E-14  0.130E-09  0.551E-05  0.105E-04  0.839E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.165E-03  0.129E-08  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.131E-03  0.937E-05  0.128E-09  0.406E-06  0.108E-06  0.217E-05  0.445E-05  0.246E-06  0.166E+00  0.300E-17  0.409E-12  0.147E-07  0.523E-07  0.246E-06  0.673E-10  0.000E+00  0.000E+00  0.300E-07  0.770E-06  0.217E-06  0.232E-05  0.475E-05  0.501E-06  0.332E+00  0.600E-17  0.300E-01  0.990E+02  0.297E-01  0.785E-06  0.530E-06  0.237E-05  0.475E-05  0.255E-06  0.332E+00  0.600E-17
  0.500E+03  0.724E-04  0.206E-04  0.105E-02  0.211E-02  0.477E-04  0.553E+02  0.100E-14  0.291E-07  0.325E-05  0.416E-05  0.476E-04  0.175E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.165E-03  0.129E-08  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.724E-04  0.937E-05  0.128E-09  0.129E-06  0.352E-07  0.459E-05  0.920E-05  0.811E-07  0.166E+00  0.300E-17  0.134E-09  0.512E-08  0.128E-07  0.809E-07  0.446E-10  0.000E+00  0.000E+00  0.300E-07  0.899E-06  0.252E-06  0.691E-05  0.139E-04  0.582E-06  0.498E+00  0.900E-17  0.150E+00  0.400E+03  0.120E+00  0.904E-06  0.351E-06  0.692E-05  0.139E-04  0.501E-06  0.498E+00  0.900E-17
  0.900E+03  0.477E-04  0.137E-04  0.135E-02  0.271E-02  0.317E-04  0.553E+02  0.100E-14  0.417E-07  0.219E-05  0.231E-05  0.317E-04  0.154E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.165E-03  0.129E-08  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.477E-04  0.937E-05  0.128E-09  0.565E-07  0.155E-07  0.535E-05  0.107E-04  0.362E-07  0.166E+00  0.300E-17  0.170E-09  0.231E-08  0.500E-08  0.360E-07  0.385E-10  0.000E+00  0.000E+00  0.300E-07  0.955E-06  0.268E-06  0.123E-04  0.246E-04  0.618E-06  0.664E+00  0.120E-16  0.270E+00  0.400E+03  0.120E+00  0.958E-06  0.311E-06  0.123E-04  0.246E-04  0.582E-06  0.664E+00  0.120E-16
  0.100E+04  0.427E-04  0.123E-04  0.141E-02  0.283E-02  0.285E-04  0.553E+02  0.100E-14  0.442E-07  0.198E-05  0.193E-05  0.285E-04  0.150E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.165E-03  0.129E-08  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.427E-04  0.937E-05  0.128E-09  0.436E-07  0.120E-07  0.550E-05  0.110E-04  0.280E-07  0.166E+00  0.300E-17  0.177E-09  0.178E-08  0.385E-08  0.278E-07  0.374E-10  0.000E+00  0.000E+00  0.300E-07  0.999E-06  0.280E-06  0.178E-04  0.357E-04  0.646E-06  0.830E+00  0.150E-16  0.300E+00  0.100E+03  0.300E-01  0.100E-05  0.313E-06  0.178E-04  0.357E-04  0.618E-06  0.830E+00  0.150E-16
  0.300E+04  0.456E-04  0.903E-05  0.186E-02  0.371E-02  0.404E-04  0.553E+02  0.100E-14  0.289E-09  0.363E-06  0.840E-05  0.404E-04  0.225E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.456E-04  0.937E-05  0.128E-09 -0.834E-07 -0.392E-07  0.613E-05  0.121E-04  0.336E-07  0.166E+00  0.300E-17  0.117E-11 -0.839E-08 -0.258E-07  0.335E-07  0.670E-10  0.000E+00  0.000E+00  0.300E-07  0.197E-05  0.435E-06  0.474E-04  0.953E-04  0.125E-05  0.166E+01  0.300E-16  0.900E+00  0.400E+03  0.120E+00  0.196E-05  0.434E-06  0.473E-04  0.953E-04  0.122E-05  0.166E+01  0.300E-16
  0.380E+04  0.289E-04  0.701E-05  0.191E-02  0.382E-02  0.193E-04  0.553E+02  0.100E-14  0.435E-07  0.697E-06  0.569E-05  0.192E-04  0.151E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.289E-04  0.937E-05  0.128E-09  0.924E-08  0.129E-08  0.607E-05  0.121E-04  0.113E-07  0.166E+00  0.300E-17  0.176E-09 -0.270E-09  0.333E-08  0.111E-07  0.376E-10  0.000E+00  0.000E+00  0.300E-07  0.200E-05  0.439E-06  0.595E-04  0.120E-03  0.130E-05  0.199E+01  0.360E-16  0.114E+01  0.400E+03  0.120E+00  0.200E-05  0.453E-06  0.595E-04  0.120E-03  0.129E-05  0.199E+01  0.360E-16
  0.500E+04  0.161E-04  0.271E-05  0.194E-02  0.388E-02  0.122E-04  0.553E+02  0.100E-14  0.324E-07  0.333E-06  0.207E-05  0.121E-04  0.167E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.161E-04  0.937E-05  0.128E-09 -0.348E-08 -0.455E-08  0.602E-05  0.120E-04  0.485E-08  0.166E+00  0.300E-17  0.133E-09 -0.104E-08 -0.248E-08  0.466E-08  0.459E-10  0.000E+00  0.000E+00  0.300E-07  0.199E-05  0.402E-06  0.777E-04  0.156E-03  0.135E-05  0.249E+01  0.450E-16  0.150E+01  0.400E+03  0.120E+00  0.199E-05  0.403E-06  0.777E-04  0.156E-03  0.134E-05  0.249E+01  0.450E-16
  0.580E+04  0.102E-04  0.520E-06  0.196E-02  0.393E-02  0.962E-05  0.553E+02  0.100E-14  0.122E-08  0.455E-08  0.502E-06  0.957E-05  0.234E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.102E-04  0.937E-05  0.128E-09 -0.777E-08 -0.929E-08  0.604E-05  0.121E-04  0.116E-07  0.166E+00  0.300E-17 -0.623E-10 -0.180E-08 -0.579E-08  0.115E-07  0.852E-10  0.000E+00  0.000E+00  0.300E-07  0.198E-05  0.391E-06  0.897E-04  0.180E-03  0.136E-05  0.282E+01  0.510E-16  0.174E+01  0.400E+03  0.120E+00  0.198E-05  0.395E-06  0.897E-04  0.180E-03  0.135E-05  0.282E+01  0.510E-16
  0.660E+04  0.205E-04  0.318E-05  0.197E-02  0.395E-02  0.121E-04  0.553E+02  0.100E-14  0.311E-07  0.321E-06  0.295E-05  0.120E-04  0.170E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.205E-04  0.937E-05  0.128E-09 -0.471E-07 -0.146E-07  0.602E-05  0.121E-04 -0.448E-07  0.166E+00  0.300E-17  0.155E-09 -0.366E-09 -0.141E-07 -0.450E-07  0.401E-10  0.000E+00  0.000E+00  0.300E-07  0.173E-05  0.334E-06  0.102E-03  0.204E-03  0.123E-05  0.315E+01  0.570E-16  0.198E+01  0.400E+03  0.120E+00  0.173E-05  0.275E-06  0.102E-03  0.204E-03  0.128E-05  0.315E+01  0.570E-16
  0.740E+04  0.150E-04  0.187E-05  0.198E-02  0.396E-02  0.114E-04  0.553E+02  0.100E-14  0.316E-07  0.112E-06  0.175E-05  0.114E-04  0.172E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.150E-04  0.937E-05  0.128E-09 -0.210E-08 -0.340E-08  0.603E-05  0.120E-04  0.628E-08  0.166E+00  0.300E-17  0.131E-09 -0.542E-09 -0.262E-08  0.608E-08  0.458E-10  0.000E+00  0.000E+00  0.300E-07  0.173E-05  0.320E-06  0.114E-03  0.228E-03  0.126E-05  0.348E+01  0.630E-16  0.222E+01  0.400E+03  0.120E+00  0.173E-05  0.323E-06  0.114E-03  0.228E-03  0.125E-05  0.348E+01  0.630E-16
  0.860E+04  0.710E-05  0.560E-06  0.199E-02  0.398E-02  0.585E-05  0.553E+02  0.100E-14  0.429E-07  0.118E-07  0.543E-06  0.577E-05  0.151E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.710E-05  0.937E-05  0.128E-09 -0.356E-08 -0.123E-08  0.601E-05  0.120E-04 -0.432E-09  0.166E+00  0.300E-17  0.180E-09 -0.158E-09 -0.964E-09 -0.670E-09  0.370E-10  0.000E+00  0.000E+00  0.300E-07  0.172E-05  0.315E-06  0.132E-03  0.264E-03  0.127E-05  0.398E+01  0.720E-16  0.258E+01  0.400E+03  0.120E+00  0.172E-05  0.314E-06  0.132E-03  0.264E-03  0.127E-05  0.398E+01  0.720E-16
