    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.000E+00  0.100E-06  0.871E-10  0.200E-02  0.400E-02  0.177E-06  0.553E+02  0.100E-14  0.663E-07  0.756E-14  0.861E-10  0.886E-07  0.112E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.795E+01  0.937E-05  0.000E+00
  0.100E-01  0.382E-04  0.490E-05  0.141E-02  0.283E-02  0.298E-04  0.553E+02  0.100E-14  0.384E-09  0.165E-06  0.349E-05  0.298E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.200E-01  0.187E-03  0.235E-04  0.693E-03  0.158E-02  0.667E-04  0.553E+02  0.100E-14  0.167E-09  0.467E-05  0.983E-05  0.667E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.873E-04  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.300E-01  0.130E-03  0.376E-04  0.284E-03  0.581E-03  0.852E-04  0.553E+02  0.100E-14  0.128E-09  0.554E-05  0.690E-05  0.851E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.177E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.400E-01  0.124E-03  0.370E-04  0.677E-04  0.139E-03  0.853E-04  0.553E+02  0.100E-14  0.125E-09  0.566E-05  0.183E-05  0.852E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.197E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.500E-01  0.124E-03  0.373E-04  0.866E-05  0.178E-04  0.867E-04  0.553E+02  0.100E-14  0.121E-09  0.623E-05  0.247E-06  0.866E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.600E-01  0.124E-03  0.374E-04  0.734E-06  0.151E-05  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.647E-05  0.217E-07  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.700E-01  0.125E-03  0.374E-04  0.106E-06  0.218E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.315E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.800E-01  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.900E-01  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
