    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.000E+00  0.100E-06  0.871E-10  0.200E-02  0.400E-02  0.177E-06  0.553E+02  0.100E-14  0.663E-07  0.756E-14  0.861E-10  0.886E-07  0.112E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.795E+01  0.937E-05  0.000E+00
  0.100E-01  0.361E-05  0.601E-07  0.199E-02  0.399E-02  0.331E-05  0.553E+02  0.100E-14  0.354E-08  0.188E-09  0.592E-07  0.326E-05  0.221E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.200E-01  0.103E-04  0.673E-06  0.198E-02  0.396E-02  0.807E-05  0.553E+02  0.100E-14  0.431E-08  0.438E-07  0.597E-06  0.802E-05  0.220E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.300E-01  0.238E-04  0.266E-05  0.195E-02  0.391E-02  0.145E-04  0.553E+02  0.100E-14  0.127E-07  0.282E-06  0.221E-05  0.144E-04  0.203E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.122E-03  0.109E-05  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.400E-01  0.498E-04  0.596E-05  0.189E-02  0.381E-02  0.237E-04  0.553E+02  0.100E-14  0.147E-07  0.769E-06  0.482E-05  0.236E-04  0.198E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.105E-03  0.000E+00  0.320E+00  0.770E+01  0.937E-05  0.100E-09
  0.500E-01  0.859E-04  0.100E-04  0.180E-02  0.367E-02  0.348E-04  0.553E+02  0.100E-14  0.981E-08  0.145E-05  0.785E-05  0.347E-04  0.206E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.831E-04  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.600E-01  0.114E-03  0.136E-04  0.169E-02  0.349E-02  0.433E-04  0.553E+02  0.100E-14  0.720E-08  0.209E-05  0.100E-04  0.433E-04  0.210E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.918E-04  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.700E-01  0.126E-03  0.167E-04  0.155E-02  0.321E-02  0.495E-04  0.553E+02  0.100E-14  0.690E-08  0.265E-05  0.108E-04  0.495E-04  0.210E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.800E-01  0.124E-03  0.190E-04  0.140E-02  0.290E-02  0.530E-04  0.553E+02  0.100E-14  0.782E-08  0.304E-05  0.104E-04  0.530E-04  0.207E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.900E-01  0.119E-03  0.215E-04  0.122E-02  0.252E-02  0.568E-04  0.553E+02  0.100E-14  0.858E-08  0.345E-05  0.942E-05  0.567E-04  0.206E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.100E+00  0.115E-03  0.239E-04  0.104E-02  0.214E-02  0.608E-04  0.553E+02  0.100E-14  0.863E-08  0.384E-05  0.839E-05  0.608E-04  0.206E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.197E-03  0.000E+00  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.110E+00  0.114E-03  0.264E-04  0.851E-03  0.175E-02  0.652E-04  0.553E+02  0.100E-14  0.805E-08  0.422E-05  0.725E-05  0.652E-04  0.208E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.120E+00  0.114E-03  0.287E-04  0.664E-03  0.136E-02  0.697E-04  0.553E+02  0.100E-14  0.687E-08  0.457E-05  0.613E-05  0.696E-04  0.211E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.130E+00  0.115E-03  0.305E-04  0.500E-03  0.102E-02  0.736E-04  0.553E+02  0.100E-14  0.533E-08  0.485E-05  0.516E-05  0.736E-04  0.215E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.767E+01  0.937E-05  0.100E-09
  0.140E+00  0.117E-03  0.321E-04  0.355E-03  0.725E-03  0.772E-04  0.553E+02  0.100E-14  0.363E-08  0.510E-05  0.432E-05  0.771E-04  0.219E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.150E+00  0.119E-03  0.333E-04  0.242E-03  0.496E-03  0.800E-04  0.553E+02  0.100E-14  0.205E-08  0.528E-05  0.370E-05  0.800E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.160E+00  0.121E-03  0.339E-04  0.154E-03  0.317E-03  0.822E-04  0.553E+02  0.100E-14  0.129E-09  0.528E-05  0.383E-05  0.821E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.170E+00  0.122E-03  0.351E-04  0.976E-04  0.201E-03  0.839E-04  0.553E+02  0.100E-14  0.126E-09  0.566E-05  0.258E-05  0.838E-04  0.223E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.180E+00  0.123E-03  0.361E-04  0.559E-04  0.115E-03  0.852E-04  0.553E+02  0.100E-14  0.219E-09  0.604E-05  0.135E-05  0.852E-04  0.229E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.764E+01  0.937E-05  0.100E-09
  0.190E+00  0.124E-03  0.367E-04  0.326E-04  0.669E-04  0.860E-04  0.553E+02  0.100E-14  0.166E-09  0.621E-05  0.818E-06  0.859E-04  0.228E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.764E+01  0.937E-05  0.100E-09
  0.200E+00  0.124E-03  0.370E-04  0.171E-04  0.353E-04  0.865E-04  0.553E+02  0.100E-14  0.136E-09  0.633E-05  0.459E-06  0.865E-04  0.225E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.210E+00  0.124E-03  0.375E-04  0.831E-05  0.171E-04  0.866E-04  0.553E+02  0.100E-14  0.120E-09  0.637E-05  0.244E-06  0.865E-04  0.225E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.220E+00  0.124E-03  0.373E-04  0.391E-05  0.803E-05  0.870E-04  0.553E+02  0.100E-14  0.127E-09  0.645E-05  0.101E-06  0.870E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.230E+00  0.124E-03  0.374E-04  0.175E-05  0.360E-05  0.871E-04  0.553E+02  0.100E-14  0.121E-09  0.648E-05  0.484E-07  0.870E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.240E+00  0.124E-03  0.374E-04  0.766E-06  0.158E-05  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.227E-07  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.250E+00  0.125E-03  0.374E-04  0.353E-06  0.727E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.103E-07  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.260E+00  0.125E-03  0.374E-04  0.191E-06  0.393E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.563E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.270E+00  0.124E-03  0.373E-04  0.130E-06  0.267E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.385E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.280E+00  0.125E-03  0.374E-04  0.107E-06  0.221E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.319E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.290E+00  0.125E-03  0.374E-04  0.100E-06  0.206E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.297E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.300E+00  0.125E-03  0.374E-04  0.980E-07  0.202E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.291E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.310E+00  0.125E-03  0.374E-04  0.973E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.289E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.320E+00  0.124E-03  0.374E-04  0.972E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.289E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.330E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.340E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.350E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.360E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
