    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.000E+00  0.100E-06  0.871E-10  0.200E-02  0.400E-02  0.177E-06  0.553E+02  0.100E-14  0.663E-07  0.756E-14  0.861E-10  0.886E-07  0.112E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.795E+01  0.937E-05  0.000E+00
  0.100E-01  0.237E-06  0.633E-09  0.200E-02  0.400E-02  0.374E-06  0.553E+02  0.100E-14  0.322E-07  0.130E-12  0.625E-09  0.306E-06  0.179E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.775E+01  0.937E-05  0.100E-09
  0.200E-01  0.538E-06  0.378E-08  0.200E-02  0.400E-02  0.847E-06  0.553E+02  0.100E-14  0.137E-07  0.176E-11  0.373E-08  0.800E-06  0.188E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.773E+01  0.937E-05  0.100E-09
  0.300E-01  0.124E-05  0.217E-07  0.200E-02  0.400E-02  0.200E-05  0.553E+02  0.100E-14  0.588E-08  0.231E-10  0.214E-07  0.195E-05  0.220E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.400E-01  0.269E-05  0.104E-06  0.200E-02  0.399E-02  0.433E-05  0.553E+02  0.100E-14  0.271E-08  0.240E-09  0.103E-06  0.428E-05  0.222E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.500E-01  0.589E-05  0.469E-06  0.200E-02  0.399E-02  0.922E-05  0.553E+02  0.100E-14  0.127E-08  0.240E-08  0.463E-06  0.917E-05  0.223E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.600E-01  0.117E-04  0.167E-05  0.200E-02  0.398E-02  0.174E-04  0.553E+02  0.100E-14  0.676E-09  0.177E-07  0.164E-05  0.173E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.700E-01  0.262E-04  0.663E-05  0.200E-02  0.397E-02  0.345E-04  0.553E+02  0.100E-14  0.340E-09  0.148E-06  0.652E-05  0.345E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.800E-01  0.497E-04  0.178E-04  0.200E-02  0.395E-02  0.566E-04  0.553E+02  0.100E-14  0.208E-09  0.762E-06  0.174E-04  0.565E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.900E-01  0.691E-04  0.282E-04  0.199E-02  0.392E-02  0.712E-04  0.553E+02  0.100E-14  0.165E-09  0.167E-05  0.274E-04  0.712E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.919E-04  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
