    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.000E+00  0.100E-06  0.871E-10  0.200E-02  0.400E-02  0.177E-06  0.553E+02  0.100E-14  0.663E-07  0.756E-14  0.861E-10  0.886E-07  0.112E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.795E+01  0.937E-05  0.000E+00
  0.100E-01  0.114E-06  0.122E-09  0.200E-02  0.400E-02  0.197E-06  0.553E+02  0.100E-14  0.597E-07  0.120E-13  0.120E-09  0.111E-06  0.130E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.789E+01  0.937E-05  0.100E-09
  0.200E-01  0.145E-06  0.224E-09  0.200E-02  0.400E-02  0.245E-06  0.553E+02  0.100E-14  0.486E-07  0.282E-13  0.221E-09  0.165E-06  0.156E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.781E+01  0.937E-05  0.100E-09
  0.300E-01  0.210E-06  0.539E-09  0.200E-02  0.400E-02  0.349E-06  0.553E+02  0.100E-14  0.341E-07  0.982E-13  0.533E-09  0.278E-06  0.179E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.775E+01  0.937E-05  0.100E-09
  0.400E-01  0.357E-06  0.181E-08  0.200E-02  0.400E-02  0.604E-06  0.553E+02  0.100E-14  0.199E-07  0.560E-12  0.179E-08  0.540E-06  0.205E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.500E-01  0.682E-06  0.740E-08  0.200E-02  0.400E-02  0.119E-05  0.553E+02  0.100E-14  0.990E-08  0.438E-11  0.731E-08  0.113E-05  0.209E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.768E+01  0.937E-05  0.100E-09
  0.600E-01  0.136E-05  0.310E-07  0.200E-02  0.400E-02  0.240E-05  0.553E+02  0.100E-14  0.490E-08  0.365E-10  0.306E-07  0.233E-05  0.220E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.700E-01  0.263E-05  0.117E-06  0.200E-02  0.400E-02  0.463E-05  0.553E+02  0.100E-14  0.253E-08  0.268E-09  0.115E-06  0.456E-05  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.800E-01  0.537E-05  0.470E-06  0.200E-02  0.400E-02  0.914E-05  0.553E+02  0.100E-14  0.128E-08  0.215E-08  0.467E-06  0.907E-05  0.220E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.900E-01  0.115E-04  0.182E-05  0.201E-02  0.399E-02  0.182E-04  0.553E+02  0.100E-14  0.645E-09  0.176E-07  0.180E-05  0.181E-04  0.223E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
