xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0  dTime, s: 1	dt = 50[s]
Node	Aq	pH	Calc	Dolo	Ca	Mg	Cl
0	55.3719	6.89615	0	0	1e-07	0.01	0.02
1	55.345	9.71984	0	0.000302407	0.000222584	0.000881962	0.00200018
2	55.3423	10.072	0.000428025	4.27913e-05	6.01835e-05	0.000157309	2e-07
3	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
4	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
5	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
6	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
7	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
8	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
9	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
10	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
11	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
12	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
13	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
14	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
15	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
16	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
17	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
18	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
19	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
20	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
21	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
22	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
23	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
24	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
25	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
26	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
27	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
28	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
29	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
30	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
