xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	6.65605	9.90189e-08	0.01	0.02	8.81089e-10	1e-10	50000	1.3845e-14
1	9.4598	0.000123891	0.00205964	0.00400016	0.000188347	2.01864e-06	50000	10.3749
2	9.69791	0.000109728	5.99236e-05	2e-07	0.000204395	2.01864e-05	50000	1.27225
3	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
4	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
5	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
6	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
7	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
8	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
9	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
10	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
11	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
12	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
13	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
14	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
15	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
16	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
17	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
18	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
19	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
20	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
21	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
22	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
23	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
24	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
25	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
26	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
27	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
28	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
29	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
30	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
31	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
32	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
33	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
34	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
35	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
36	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
37	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
38	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
39	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
40	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
