xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	7.63901	0.0100387	0.0529763	0.545193	0	1e-07	1000	7.7037
1	7.17764	0.0319105	0.0310052	0.545188	38.9452	0.390463	1000	1.42396
2	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
3	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
4	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
5	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
6	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
7	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
8	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
9	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
10	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
11	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
12	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
13	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
14	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
15	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
16	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
17	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
18	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
19	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
20	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
21	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
22	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
23	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
